"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","715","The user can use an invalid date for Date of Birth field","chromium","Sun Feb 15 01:31:56 UTC 2026","passed","Sun Feb 15 01:31:57 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","1034","Check that the user can enter caraters in the Postal field","chromium","Sun Feb 15 01:31:50 UTC 2026","passed","Sun Feb 15 01:31:51 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","679","The error is displayed if the user enters an invalid email","chromium","Sun Feb 15 01:31:54 UTC 2026","passed","Sun Feb 15 01:31:55 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","638","All fields on Login page should have correct labels","chromium","Sun Feb 15 01:31:34 UTC 2026","passed","Sun Feb 15 01:31:35 UTC 2026","Login Tests","login.page.spec.ts","",""
"","3605","The number of pages should change after filtering by category","chromium","Sun Feb 15 01:31:16 UTC 2026","passed","Sun Feb 15 01:31:20 UTC 2026","Home page tests","home.page.spec.ts","",""
"","2087","The user can search for a product","chromium","Sun Feb 15 01:31:12 UTC 2026","passed","Sun Feb 15 01:31:14 UTC 2026","Home page tests","home.page.spec.ts","",""
"","685","The ""Weak"" value is displayed if the user enters a simple password","chromium","Sun Feb 15 01:31:52 UTC 2026","passed","Sun Feb 15 01:31:53 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","1410","The user can navigate to the previous page using Previous button","chromium","Sun Feb 15 01:31:22 UTC 2026","passed","Sun Feb 15 01:31:24 UTC 2026","Home page tests","home.page.spec.ts","",""
"","634","Google Sign-In button is displayed for the user","chromium","Sun Feb 15 01:31:34 UTC 2026","passed","Sun Feb 15 01:31:34 UTC 2026","Login Tests","login.page.spec.ts","",""
"","6775","The user can log in successfully","chromium","Sun Feb 15 01:31:40 UTC 2026","failed","Sun Feb 15 01:31:47 UTC 2026","Login Tests","login.page.spec.ts","",""
"","1757","Should show error for invalid credentials","chromium","Sun Feb 15 01:31:27 UTC 2026","passed","Sun Feb 15 01:31:29 UTC 2026","Login Tests","login.page.spec.ts","",""
"","2537","Should display ""There are no products found."" message for non-existent search","chromium","Sun Feb 15 01:31:23 UTC 2026","passed","Sun Feb 15 01:31:26 UTC 2026","Home page tests","home.page.spec.ts","",""
"","1645","Should show error for invalid email format","chromium","Sun Feb 15 01:31:29 UTC 2026","passed","Sun Feb 15 01:31:31 UTC 2026","Login Tests","login.page.spec.ts","",""
"","940","The ""Strong"" value is displayed if the user enters a complex password","chromium","Sun Feb 15 01:31:53 UTC 2026","passed","Sun Feb 15 01:31:54 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","3234","The number of pages should change after filtering by sustainability","chromium","Sun Feb 15 01:31:20 UTC 2026","passed","Sun Feb 15 01:31:23 UTC 2026","Home page tests","home.page.spec.ts","",""
"","899","The user redirects to the Forgot Password page if the user clicks Forgot your Password? link","chromium","Sun Feb 15 01:31:32 UTC 2026","passed","Sun Feb 15 01:31:33 UTC 2026","Login Tests","login.page.spec.ts","",""
"","1417","The user can sort products by price: low to high","chromium","Sun Feb 15 01:31:16 UTC 2026","passed","Sun Feb 15 01:31:17 UTC 2026","Home page tests","home.page.spec.ts","",""
"","1813","The user can reset the search results","chromium","Sun Feb 15 01:31:14 UTC 2026","passed","Sun Feb 15 01:31:16 UTC 2026","Home page tests","home.page.spec.ts","",""
"","1501","The user can navigate to the next page using Next button","chromium","Sun Feb 15 01:31:21 UTC 2026","passed","Sun Feb 15 01:31:22 UTC 2026","Home page tests","home.page.spec.ts","",""
"","1319","Should show error messages if the user clicks log in button without submitting username and password empty fields","chromium","Sun Feb 15 01:31:26 UTC 2026","passed","Sun Feb 15 01:31:27 UTC 2026","Login Tests","login.page.spec.ts","",""
"","1852","Should show validation errors when submitting empty form","chromium","Sun Feb 15 01:31:48 UTC 2026","passed","Sun Feb 15 01:31:50 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","1403","The user redirects to the Registration page if the user clicks Register your account link","chromium","Sun Feb 15 01:31:31 UTC 2026","passed","Sun Feb 15 01:31:32 UTC 2026","Login Tests","login.page.spec.ts","",""
"","664","Users can see their passwords","chromium","Sun Feb 15 01:31:33 UTC 2026","passed","Sun Feb 15 01:31:34 UTC 2026","Login Tests","login.page.spec.ts","",""
"","955","The user can return to Sign in page","chromium","Sun Feb 15 01:31:55 UTC 2026","passed","Sun Feb 15 01:31:56 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","637","The user can select a country from the dropdown","chromium","Sun Feb 15 01:31:55 UTC 2026","passed","Sun Feb 15 01:31:55 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","3542","The number of pages should change after filtering by brand","chromium","Sun Feb 15 01:31:17 UTC 2026","passed","Sun Feb 15 01:31:21 UTC 2026","Home page tests","home.page.spec.ts","",""
"","6289","The user can log in using Enter keyboard button","chromium","Sun Feb 15 01:31:50 UTC 2026","failed","Sun Feb 15 01:31:56 UTC 2026","Login Tests","login.page.spec.ts","",""
"","1393","Check that the user cannot enter caraters in the Phone field","chromium","Sun Feb 15 01:31:51 UTC 2026","passed","Sun Feb 15 01:31:52 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","776","The users can check their passwords","chromium","Sun Feb 15 01:31:58 UTC 2026","passed","Sun Feb 15 01:31:58 UTC 2026","Registration Tests","register.page.spec.ts","",""
"","4579","The user can filter products by price range","chromium","Sun Feb 15 01:31:12 UTC 2026","passed","Sun Feb 15 01:31:16 UTC 2026","Home page tests","home.page.spec.ts","",""
